category_id,name,description,created_at,updated_at
1,"Technology","Articles about latest technology trends and innovations","2024-01-10 10:00:00","2024-01-10 10:00:00"
2,"Web Development","Frontend and backend web development tutorials and tips","2024-01-10 10:00:00","2024-01-10 10:00:00"
3,"Mobile Development","iOS and Android app development guides","2024-01-10 10:00:00","2024-01-10 10:00:00"
4,"Data Science","Machine learning, AI, and data analysis articles","2024-01-10 10:00:00","2024-01-10 10:00:00"
5,"DevOps","Deployment, CI/CD, and infrastructure articles","2024-01-10 10:00:00","2024-01-10 10:00:00"
6,"UI/UX Design","User interface and user experience design principles","2024-01-10 10:00:00","2024-01-10 10:00:00"
7,"Digital Marketing","SEO, content marketing, and social media strategies","2024-01-10 10:00:00","2024-01-10 10:00:00"
8,"Cybersecurity","Security best practices and threat prevention","2024-01-10 10:00:00","2024-01-10 10:00:00"
9,"Cloud Computing","AWS, Azure, and Google Cloud platform guides","2024-01-10 10:00:00","2024-01-10 10:00:00"
10,"Blockchain","Cryptocurrency and blockchain technology articles","2024-01-10 10:00:00","2024-01-10 10:00:00"
11,"AI & Generative Models","Insights on ChatGPT, GPT-4/5, and generative AI use cases","2025-06-21 12:00:00","2025-06-21 12:00:00"
12,"Low-Code & No-Code","Building applications with minimal coding platforms and tools","2025-06-21 12:00:00","2025-06-21 12:00:00"
13,"Edge Computing","Decentralized computing near data sources for real-time use","2025-06-21 12:00:00","2025-06-21 12:00:00"
14,"Quantum Computing","Quantum algorithms, hardware, and research updates","2025-06-21 12:00:00","2025-06-21 12:00:00"
15,"Augmented Reality","AR technologies, tools, and experience design trends","2025-06-21 12:00:00","2025-06-21 12:00:00"
16,"Remote Work Tools","Best tools, platforms, and productivity for distributed teams","2025-06-21 12:00:00","2025-06-21 12:00:00"
17,"Ethical Tech","Articles on tech ethics, digital well-being, and AI bias","2025-06-21 12:00:00","2025-06-21 12:00:00"
18,"Green Tech","Sustainable technology innovations and climate solutions","2025-06-21 12:00:00","2025-06-21 12:00:00"
19,"Prompt Engineering","Optimizing prompts for better output from language models","2025-06-21 12:00:00","2025-06-21 12:00:00"
20,"Tech for Education","Innovations in EdTech, online learning, and digital classrooms","2025-06-21 12:00:00","2025-06-21 12:00:00"
