like_id,user_id,article_id,created_at,updated_at
1,2,1,"2024-01-15 15:00:00","2024-01-15 15:00:00"
2,4,1,"2024-01-15 16:30:00","2024-01-15 16:30:00"
3,5,1,"2024-01-16 09:15:00","2024-01-16 09:15:00"
4,6,1,"2024-01-16 14:20:00","2024-01-16 14:20:00"
5,1,2,"2024-01-18 10:00:00","2024-01-18 10:00:00"
6,4,2,"2024-01-18 11:45:00","2024-01-18 11:45:00"
7,5,2,"2024-01-18 13:30:00","2024-01-18 13:30:00"
8,1,3,"2024-01-22 17:00:00","2024-01-22 17:00:00"
9,2,3,"2024-01-23 08:30:00","2024-01-23 08:30:00"
10,5,3,"2024-01-23 12:15:00","2024-01-23 12:15:00"
11,6,3,"2024-01-23 16:45:00","2024-01-23 16:45:00"
12,1,4,"2024-01-25 12:30:00","2024-01-25 12:30:00"
13,2,4,"2024-01-25 14:15:00","2024-01-25 14:15:00"
14,4,4,"2024-01-26 09:00:00","2024-01-26 09:00:00"
15,6,4,"2024-01-26 11:30:00","2024-01-26 11:30:00"
16,1,5,"2024-01-28 14:00:00","2024-01-28 14:00:00"
17,2,5,"2024-01-28 15:30:00","2024-01-28 15:30:00"
18,4,5,"2024-01-29 10:15:00","2024-01-29 10:15:00"
19,5,5,"2024-01-29 13:45:00","2024-01-29 13:45:00"
20,2,6,"2024-02-01 11:00:00","2024-02-01 11:00:00"
21,4,6,"2024-02-01 14:30:00","2024-02-01 14:30:00"
22,1,7,"2025-06-22 12:00:00","2025-06-22 12:00:00"
23,2,7,"2025-06-22 13:00:00","2025-06-22 13:00:00"
24,3,8,"2025-06-23 12:00:00","2025-06-23 12:00:00"
25,4,8,"2025-06-23 13:00:00","2025-06-23 13:00:00"
26,5,9,"2025-06-24 15:00:00","2025-06-24 15:00:00"
27,6,9,"2025-06-24 16:00:00","2025-06-24 16:00:00"
28,7,10,"2025-06-25 10:30:00","2025-06-25 10:30:00"
29,8,10,"2025-06-25 11:30:00","2025-06-25 11:30:00"
30,9,11,"2025-06-26 17:00:00","2025-06-26 17:00:00"
31,10,11,"2025-06-26 18:00:00","2025-06-26 18:00:00"
32,11,12,"2025-06-27 12:45:00","2025-06-27 12:45:00"
33,12,12,"2025-06-27 13:45:00","2025-06-27 13:45:00"
34,13,13,"2025-06-28 11:00:00","2025-06-28 11:00:00"
35,14,13,"2025-06-28 12:00:00","2025-06-28 12:00:00"
36,15,14,"2025-06-29 15:20:00","2025-06-29 15:20:00"
37,16,14,"2025-06-29 16:20:00","2025-06-29 16:20:00"
38,17,15,"2025-06-30 12:00:00","2025-06-30 12:00:00"
39,18,15,"2025-06-30 13:00:00","2025-06-30 13:00:00"
40,19,16,"2025-07-01 10:00:00","2025-07-01 10:00:00"
41,20,16,"2025-07-01 11:00:00","2025-07-01 11:00:00"
42,21,17,"2025-07-02 14:15:00","2025-07-02 14:15:00"
43,22,17,"2025-07-02 15:15:00","2025-07-02 15:15:00"
44,23,18,"2025-07-03 11:30:00","2025-07-03 11:30:00"
45,24,18,"2025-07-03 12:30:00","2025-07-03 12:30:00"
46,25,19,"2025-07-04 16:00:00","2025-07-04 16:00:00"
47,26,19,"2025-07-04 17:00:00","2025-07-04 17:00:00"
48,27,20,"2025-07-05 12:20:00","2025-07-05 12:20:00"
49,28,20,"2025-07-05 13:20:00","2025-07-05 13:20:00"
50,29,21,"2025-07-06 15:45:00","2025-07-06 15:45:00"
51,30,21,"2025-07-06 16:45:00","2025-07-06 16:45:00"
52,31,22,"2025-07-07 11:00:00","2025-07-07 11:00:00"
53,32,22,"2025-07-07 12:00:00","2025-07-07 12:00:00"
54,33,23,"2025-07-08 10:15:00","2025-07-08 10:15:00"
55,34,23,"2025-07-08 11:15:00","2025-07-08 11:15:00"
56,35,24,"2025-07-09 13:00:00","2025-07-09 13:00:00"
57,36,24,"2025-07-09 14:00:00","2025-07-09 14:00:00"
58,37,25,"2025-07-10 14:30:00","2025-07-10 14:30:00"
59,38,25,"2025-07-10 15:30:00","2025-07-10 15:30:00"
60,39,26,"2025-07-11 11:45:00","2025-07-11 11:45:00"
61,40,26,"2025-07-11 12:45:00","2025-07-11 12:45:00"
