article_category_id,article_id,category_id,created_at,updated_at
1,1,1,"2024-01-15 14:30:00","2024-01-15 14:30:00"
2,1,2,"2024-01-15 14:30:00","2024-01-15 14:30:00"
3,2,7,"2024-01-18 09:15:00","2024-01-18 09:15:00"
4,3,6,"2024-01-22 16:20:00","2024-01-22 16:20:00"
5,3,1,"2024-01-22 16:20:00","2024-01-22 16:20:00"
6,4,1,"2024-01-25 11:45:00","2024-01-25 11:45:00"
7,4,5,"2024-01-25 11:45:00","2024-01-25 11:45:00"
8,5,4,"2024-01-28 13:30:00","2024-01-28 13:30:00"
9,5,1,"2024-01-28 13:30:00","2024-01-28 13:30:00"
10,6,5,"2024-02-01 10:15:00","2024-02-01 10:15:00"
11,6,1,"2024-02-01 10:15:00","2024-02-01 10:15:00"
12,7,19,"2025-06-22 10:00:00","2025-06-22 10:00:00"
13,7,1,"2025-06-22 10:00:00","2025-06-22 10:00:00"
14,8,11,"2025-06-23 11:00:00","2025-06-23 11:00:00"
15,8,1,"2025-06-23 11:00:00","2025-06-23 11:00:00"
16,9,12,"2025-06-24 14:00:00","2025-06-24 14:00:00"
17,10,13,"2025-06-25 09:30:00","2025-06-25 09:30:00"
18,11,14,"2025-06-26 16:00:00","2025-06-26 16:00:00"
19,12,15,"2025-06-27 11:45:00","2025-06-27 11:45:00"
20,13,16,"2025-06-28 10:00:00","2025-06-28 10:00:00"
21,14,17,"2025-06-29 14:20:00","2025-06-29 14:20:00"
22,15,18,"2025-06-30 11:00:00","2025-06-30 11:00:00"
23,16,20,"2025-07-01 09:00:00","2025-07-01 09:00:00"
24,17,19,"2025-07-02 13:15:00","2025-07-02 13:15:00"
25,17,1,"2025-07-02 13:15:00","2025-07-02 13:15:00"
26,18,11,"2025-07-03 10:30:00","2025-07-03 10:30:00"
27,18,1,"2025-07-03 10:30:00","2025-07-03 10:30:00"
28,19,12,"2025-07-04 15:00:00","2025-07-04 15:00:00"
29,20,13,"2025-07-05 11:20:00","2025-07-05 11:20:00"
30,21,14,"2025-07-06 14:45:00","2025-07-06 14:45:00"
31,21,8,"2025-07-06 14:45:00","2025-07-06 14:45:00"
32,22,15,"2025-07-07 10:00:00","2025-07-07 10:00:00"
33,23,16,"2025-07-08 09:15:00","2025-07-08 09:15:00"
34,24,17,"2025-07-09 12:00:00","2025-07-09 12:00:00"
35,24,1,"2025-07-09 12:00:00","2025-07-09 12:00:00"
36,25,18,"2025-07-10 13:30:00","2025-07-10 13:30:00"
37,25,2,"2025-07-10 13:30:00","2025-07-10 13:30:00"
38,26,20,"2025-07-11 10:45:00","2025-07-11 10:45:00"
